3.6011,4.2533,-1
4.1174,8.9477,1
4.0838,7.75,1
10.388,10.023,1
14.243,8.087,1
15.573,6.5627,1
6.5813,4.2526,-1
9.8348,6.0027,-1
11.439,3.9568,-1
8.475,3.334,-1
13.249,1.9436,-1
13.95,8.4346,1
13.69,3.6234,-1
5.3077,3.781,-1
5.2354,4.8286,-1
15.631,8.1883,1
3.0155,7.6953,1
11.572,9.1955,1
5.0755,7.5758,1
2.5756,6.7116,-1
5.9005,11.671,1
14.343,3.6914,-1
17.327,8.1007,1
12.066,9.0958,1
14.297,10.05,1
10.894,6.8014,1
3.4194,8.4124,1
3.1705,6.7022,1
11.627,7.3264,1
2.9575,9.4932,1
5.6655,3.4657,-1
4.4071,8.8488,1
5.1421,9.6594,1
13.43,8.5964,1
10.998,8.9959,1
12.836,8.6798,1
1.9533,6.8022,1
13.893,3.2748,-1
2.0199,10.018,1
4.7948,4.1738,1
13.744,7.3609,1
3.9217,3.0667,-1
12.517,0.7742,-1
13.12,9.244,1
3.2282,3.6162,-1
14.971,8.0629,1
11.477,8.4674,1
4.8134,6.1523,-1
15.377,6.774,1
4.423,3.2337,-1
4.7417,9.0169,-1
4.0519,7.7998,1
2.0797,8.8937,1
14.673,2.948,-1
15.149,9.4695,1
5.1927,6.7202,1
11.127,7.3822,1
4.6531,3.5337,-1
17.876,4.8507,1
3.2868,8.3192,1
7.7716,4.0127,-1
13.639,8.9215,-1
13.668,2.9942,-1
1.6445,6.4847,1
14.178,7.9605,1
6.8089,8.0328,1
5.9394,3.5341,1
12.926,9.18,1
10.698,4.0213,-1
3.9586,5.7381,1
10.179,4.4893,-1
16.197,6.9677,1
6.5637,7.173,1
11.379,8.2653,1
5.3917,2.9414,-1
9.2542,3.2272,-1
11.432,7.934,1
17.662,7.8705,1
4.0415,8.9427,1
3.8742,4.1678,-1
9.1539,3.4684,-1
14.372,2.9364,-1
15.538,7.3947,-1
8.8911,4.967,1
15.259,4.1852,1
12.929,10.859,1
4.0603,3.3786,-1
12.783,3.2895,-1
14.989,6.4503,-1
14.913,4.1766,-1
10.41,9.4736,1
6.0244,4.8363,-1
4.3001,9.3279,-1
14.528,3.794,-1
4.9151,9.2662,1
13.467,2.8921,-1
14.409,3.8807,-1
10.087,6.2998,1
17.917,5.0092,1
5.4129,8.8731,1
14.398,2.5812,-1
3.7997,3.9538,-1
15.419,7.4306,1
16.607,7.7747,-1
15.167,2.6758,-1
13.34,8.1427,1
8.6346,4.416,1
13.761,3.6274,-1
4.1227,6.7817,1
14.209,5.6898,1
8.7001,4.4349,-1
12.812,9.324,1
3.4153,6.4624,1
12.056,6.8719,1
4.778,8.4292,1
4.7207,8.791,-1
13.065,9.6964,1
13.817,8.6012,1
15.311,8.6531,1
13.353,7.4539,1
5.0455,4.2495,-1
15.391,8.9688,1
4.1439,4.9933,-1
11.81,10.376,1
12.13,7.2375,1
3.8516,5.5868,-1
12.162,1.2822,-1
16.489,10.841,-1
18.983,6.9554,-1
14.857,7.2001,1
6.3579,8.3015,1
9.2442,2.6238,-1
12.925,9.4344,1
12.565,0.98177,-1
8.9201,3.2882,-1
10.026,5.8761,-1
3.4004,6.86,1
16.782,6.1835,1
3.7248,10.72,1
5.6705,3.3,-1
12.63,2.3048,-1
15.424,7.7276,1
3.6209,4.3658,-1
5.8532,4.0884,-1
11.257,4.6134,-1
3.709,6.4675,1
16.37,8.8482,1
4.0153,9.1027,1
4.2537,3.368,-1
3.6583,8.3771,1
3.9916,9.4792,1
12.331,9.5078,1
16.498,8.4835,-1
11.119,3.618,-1
13.465,7.7511,1
14.166,3.3982,-1
15.707,9.1689,1
8.9481,6.1717,-1
14.668,3.6948,-1
14.165,3.0478,-1
